"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Transactions (10)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (11)","BASIC_DATA","2","DBTYPE_I8","True","True","False","True","144",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transaction ID","Transactions (10)","Transaction ID (13)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","77677928",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Timestamp","Transactions (10)","Timestamp (14)","BASIC_DATA","1","DBTYPE_DATE","False","False","True","False","45563328",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client ID","Transactions (10)","Client ID (15)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1066928",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card ID","Transactions (10)","Card ID (16)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1070248",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Amount","Transactions (10)","Amount (17)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Channel","Transactions (10)","Channel (18)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065672",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant ID","Transactions (10)","Merchant ID (19)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1463296",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant City","Transactions (10)","Merchant City (20)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1237416",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant State","Transactions (10)","Merchant State (21)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1066640",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant Zip","Transactions (10)","Merchant Zip (22)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1418424",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","MCC","Transactions (10)","MCC (23)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1066520",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Errors","Transactions (10)","Errors (24)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065808",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Fraud Label","Transactions (10)","Fraud Label (25)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065672",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant Category","Transactions (10)","Merchant Category (26)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1066512",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Brand","Transactions (10)","Card Brand (27)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065680",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Type","Transactions (10)","Card Type (28)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065672",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Has Chip","Transactions (10)","Card Has Chip (29)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Credit Limit","Transactions (10)","Card Credit Limit (30)","BASIC_DATA","1","DBTYPE_R8","False","False","True","False","20756",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Account Opened","Transactions (10)","Card Account Opened (31)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1067184",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Cards Issued","Transactions (10)","Cards Issued (32)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1308",,,,,"0","0"
