"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Transactions (34)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (35)","BASIC_DATA","2","DBTYPE_I8","True","True","False","True","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Date","Transactions (34)","Date (115)","BASIC_DATA","1","DBTYPE_DATE","False","False","True","False","170616",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Hour","Transactions (34)","Hour (116)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1392",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Client Key","Transactions (34)","Client Key (117)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","5016",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Card Key","Transactions (34)","Card Key (118)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","11052",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","MCC","Transactions (34)","MCC (119)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","2788",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Channel Key","Transactions (34)","Channel Key (120)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1308",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Outcome Key","Transactions (34)","Outcome Key (121)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1332",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Geo Key","Transactions (34)","Geo Key (122)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","2820",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Fraud Key","Transactions (34)","Fraud Key (123)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1308",,,,,"0","0"
